,predicted_mean
2126-05-01,413.0267365581008
2126-06-01,413.0267365581008
2126-07-01,413.0267365581008
2126-08-01,413.0267365581008
2126-09-01,413.0267365581008
2126-10-01,413.0267365581008
2126-11-01,413.0267365581008
2126-12-01,413.0267365581008
2127-01-01,413.0267365581008
2127-02-01,413.0267365581008
2127-03-01,413.0267365581008
2127-04-01,413.0267365581008
2127-05-01,413.0267365581008
2127-06-01,413.0267365581008
2127-07-01,413.0267365581008
2127-08-01,413.0267365581008
2127-09-01,413.0267365581008
2127-10-01,413.0267365581008
2127-11-01,413.0267365581008
2127-12-01,413.0267365581008
2128-01-01,413.0267365581008
2128-02-01,413.0267365581008
2128-03-01,413.0267365581008
2128-04-01,413.0267365581008
2128-05-01,413.0267365581008
2128-06-01,413.0267365581008
2128-07-01,413.0267365581008
2128-08-01,413.0267365581008
2128-09-01,413.0267365581008
2128-10-01,413.0267365581008
2128-11-01,413.0267365581008
